ResSecond,EffortFiscInd,EffortFisc,ReFiscHab,DGF,CodeINSEECom,NomCom,PopDGF,PopINSEE,AGE65,Sup,PotFisc,PotFiscHab,ProduitnetFB,ProduitnetTH,BasesnettesFB,BasesnettesTH,NombredelogementsTHdelacommune,Nombredelogementssociauxdelacommune,DGFHab
187,"115,5785161","1,022935","163,9988184",1 584 163,56177,PLUVIGNER,7828,7617,"19,6",8283,"638,070516","715,604241",1249179,1299681,7233317,9130521,3451,71,"207,9772876"
186,"107,4499322","1,10032","145,5323518",516 913,56149,NOYAL-MUZILLAC,2767,2581,"19,7",4889,"546,080954","649,908565",375619,418271,1947722,2534849,1281,52,"200,2762495"
185,"97,02514347","1,218543","211,2229516",682 429,56248,SURZUR,4603,4418,19,5729,"621,699327","691,030632",933183,1041541,3681505,5514200,2009,109,"154,4655953"
184,"65,48094096","1,805553","261,0176341",943 486,22362,TREGUIER,2906,2722,"41,3",152,"412,440468","615,795939",710490,590405,2153756,2062046,1242,165,"346,614989"
184,"89,65187707","1,31876","215,2642667",4 948 313,35115,FOUGERES,21276,21028,25,1047,"789,606552","947,123848",4526577,4068684,19969170,20680531,10746,2946,"235,3201921"
184,"122,9010231","0,961988","221,8785047",27 291,56085,HOEDIC,291,107,"29,7",208,"575,886598","644,494845",23741,42142,197123,308038,205,11,"255,0560748"
183,"95,87468782","1,233165","97,59432799",983 871,22264,LA ROCHE-JAUDY,3427,3244,"21,9",2942,"380,703823","508,667639",316596,362481,1807444,2305533,1313,49,"303,2894575"
183,"115,6465745","1,022333","121,5139594",421 357,56171,PLUHERLIN,1759,1576,"17,4",3540,"487,424673","601,709494",191506,241971,1125972,1746884,822,28,"267,3585025"
182,"90,80633966","1,301994","111,2023305",287 282,22131,LOGUIVY-PLOUGRAS,1126,944,"25,4",4768,"439,129663","576,422735",104975,116937,577454,840076,575,4,"304,3241525"
182,"115,0754369","1,027407","125,9356098",208 059,35247,ROZ-SUR-COUESNON,1207,1025,"28,2",2586,"515,450704","593,286661",129084,132740,936448,916220,567,21,"202,9843902"
182,"97,76923861","1,209269","164,9060231",492 146,56070,GUEGON,2523,2341,"26,3",5352,"832,758224","949,099088",386045,359013,2056202,2395389,1219,39,"210,228962"
182,"99,11382136","1,192864","246,1894284",602 241,56118,LOCMIQUELIC,4363,4181,"27,2",358,"683,27504","793,654595",1029318,867565,3967799,6228094,2146,83,"144,0423344"
178,"82,50717006","1,432958","171,2727273",507 029,22321,SAINT-NICOLAS-DU-PELEM,1883,1705,"30,5",4104,"515,166224","663,663303",292020,298237,1413372,1471632,970,16,"297,3777126"
177,"78,8038839","1,500298","188,0934313",1 120 174,22081,HILLION,4406,4217,"23,6",2476,"552,053563","685,307308",793190,1096261,3454786,4407295,1936,56,"265,6329144"
177,"92,9556089","1,27189","345,7498097",870 046,56165,PLOERMEL,10737,10512,"23,2",5782,"907,586011","961,508056",3634522,2149361,16115232,13027566,4742,361,"82,76693303"
176,"104,9338729","1,126703","241,6105398",998 028,29241,ROSPORDEN,7996,7780,"21,1",5737,"913,692846","973,217609",1879730,1627878,9120910,10408433,3668,246,"128,2812339"
176,"117,1140325","1,009523","144,0556017",208 571,56105,LANVENEGEN,1381,1205,25,2942,"513,403331","598,648081",173587,127288,990480,1218074,708,20,"173,0879668"
176,"107,1528157","1,103371","177,7880418",880 509,56127,MAURON,3337,3161,32,6723,"574,704825","704,747078",561988,515636,3232211,3189969,1636,71,"278,5539386"
176,"114,5266624","1,03233","141,3895284",454 231,56153,PEAULE,2869,2693,"20,5",3925,"601,665737","699,558731",380762,447319,2352813,3199608,1345,31,"168,6709989"
175,"109,1240026","1,08344","103,5801527",155 532,29054,FEUILLEE,830,655,"21,8",3155,"441,290361","550,160241",67845,91679,450450,678741,456,3,"237,4534351"
175,"104,9822315","1,126184","139,8554688",580 766,56031,CAMORS,3247,3072,"20,9",3709,"455,76871","541,417308",429636,492738,2102434,3092029,1464,34,"189,0514323"
175,"96,94097447","1,219601","112,5595524",595 226,56212,SAINT-DOLAY,2677,2502,"19,8",4826,"438,889802","565,371685",281624,386010,1383151,2117592,1214,26,"237,9000799"
174,"88,54058782","1,335312","92,4254062",427 426,22232,PLOURHAN,2205,2031,21,1724,"420,326531","531,996372",187716,430445,1138435,1838463,1031,36,"210,4510094"
173,"104,7782915","1,128376","164,2697947",236 231,29008,BEUZEC-CAP-SIZUN,1196,1023,"28,8",3454,"503,494147","612,535953",168048,224237,938455,1350606,613,26,"230,9198436"
173,"111,4659985","1,060676","127,6403602",379 090,29278,SPEZET,2061,1888,"28,3",6067,"554,073751","656,442504",240985,323147,1489180,2164094,1059,50,"200,7891949"
173,"96,66262185","1,223113","98,08614748",1 000 706,35308,MESNIL-ROC'H,4526,4353,"18,7",4116,"466,849315","557,947194",426969,649384,2493654,3661760,1982,123,"229,8888123"
